hour,temperature
0,25.42
1,25.69
2,28.41
3,29.96
4,32.81
5,33.48
6,34.44
7,31.79
8,32.04
9,29.64
10,28.59
11,27.57
12,24.1
13,22.59
14,22.06
15,20.13
16,17.93
17,18.28
18,18.71
19,16.62
20,19.86
21,20.85
22,21.47
23,22.89
24,27.41
25,27.66
26,28.9
27,30.61
28,34.18
29,34.29
30,35.22
31,34.75
32,33.42
33,33.5
34,30.1
35,28.73
36,27.53
37,24.87
38,23.71
39,21.24
40,20.4
41,17.66
42,17.98
43,18.47
44,18.68
45,20.45
46,21.76
47,24.26
48,27.44
49,28.74
50,30.72
51,31.94
52,33.42
53,36.27
54,35.71
55,35.36
56,33.29
57,33.73
58,30.41
59,29.17
60,28.97
61,25.89
62,23.75
63,22.51
64,21.75
65,20.79
66,18.91
67,18.63
68,20.31
69,21.48
70,23.0
71,27.16
72,29.07
73,29.49
74,32.48
75,33.39
76,36.25
77,35.72
78,35.44
79,35.15
80,35.33
81,33.19
82,32.53
83,31.58
84,28.04
85,25.47
86,25.9
87,22.81
88,20.32
89,19.42
90,19.36
91,21.22
92,22.54
93,22.74
94,23.35
95,26.26
96,30.2
97,30.9
98,34.19
99,35.54
100,34.29
101,37.25
102,37.43
103,36.75
104,35.17
105,35.05
106,31.83
107,30.89
108,28.91
109,28.36
110,26.22
111,22.75
112,22.22
113,20.48
114,22.43
115,22.6
116,21.71
117,24.02
118,25.61
119,26.2
120,30.12
121,31.54
122,34.21
123,35.14
124,34.84
125,36.63
126,36.01
127,38.49
128,37.56
129,36.16
130,32.95
131,30.29
132,30.7
133,28.86
134,24.36
135,23.92
136,21.42
137,22.71
138,22.47
139,20.84
140,22.7
141,24.21
142,25.02
143,28.79
144,29.52
145,30.97
146,33.9
147,36.14
148,35.84
149,36.98
150,39.32
151,38.02
152,36.59
153,35.57
154,32.73
155,31.13
156,29.4
157,28.09
158,25.1
159,23.42
160,21.71
161,22.6
162,21.13
163,23.43
164,24.1
165,23.01
166,25.18
167,28.4
168,29.12
169,30.94
170,35.29
171,35.85
172,36.83
173,38.57
174,38.92
175,36.79
176,35.72
177,35.45
178,33.77
179,31.97
180,30.69
181,28.45
182,27.45
183,23.14
184,22.78
185,21.79
186,23.08
187,21.51
188,22.13
189,24.17
190,25.75
191,27.24
192,29.22
193,33.31
194,33.79
195,36.7
196,37.03
197,36.32
198,39.44
199,38.67
200,38.26
201,36.85
202,34.95
203,30.97
204,29.85
205,26.95
206,25.57
207,22.88
208,22.56
209,23.57
210,21.13
211,22.94
212,22.74
213,23.91
214,27.15
215,29.18
216,29.92
217,32.47
218,32.69
219,34.76
220,38.03
221,37.65
222,37.79
223,38.12
224,35.24
225,35.53
226,33.61
227,32.71
228,28.54
229,28.86
230,24.27
231,22.91
232,22.85
233,22.27
234,20.66
235,20.57
236,23.66
237,22.98
238,25.66
239,27.64
240,29.09
241,31.63
242,33.35
243,36.22
244,35.28
245,37.59
246,36.41
247,36.58
248,36.59
249,34.18
250,32.54
251,31.9
252,27.76
253,26.82
254,26.49
255,24.8
256,20.73
257,20.33
258,20.18
259,22.43
260,23.04
261,24.28
262,24.38
263,25.65
264,29.72
265,31.37
266,32.99
267,35.75
268,35.99
269,34.82
270,37.49
271,35.63
272,35.89
273,35.42
274,31.31
275,29.29
276,27.17
277,26.4
278,23.6
279,22.9
280,21.94
281,19.56
282,20.55
283,19.68
284,21.12
285,23.6
286,25.05
287,24.68
288,27.71
289,29.3
290,30.38
291,34.3
292,35.14
293,34.77
294,36.45
295,35.57
296,34.36
297,31.8
298,30.3
299,30.76
300,28.71
301,25.53
302,24.43
303,21.98
304,19.36
305,18.46
306,18.69
307,20.7
308,21.15
309,22.58
310,24.31
311,24.13
312,26.28
313,27.87
314,31.79
315,33.72
316,33.52
317,34.92
318,33.76
319,35.77
320,34.73
321,33.75
322,31.56
323,29.8
324,25.12
325,25.14
326,21.96
327,22.06
328,20.36
329,19.7
330,19.23
331,17.82
332,20.14
333,19.33
334,23.24
335,25.09
336,25.21
337,29.02
338,29.83
339,30.98
340,33.68
341,32.74
342,32.35
343,32.55
344,32.11
345,32.4
346,31.01
347,26.97
348,25.95
349,23.11
350,22.88
351,19.84
352,19.74
353,16.42
354,18.67
355,16.53
356,19.63
357,18.77
358,19.91
359,22.78
360,25.69
361,26.47
362,29.23
363,30.56
364,31.41
365,32.74
366,32.0
367,33.05
368,30.08
369,31.54
370,28.68
371,27.25
372,25.2
373,22.88
374,19.98
375,17.4
376,17.87
377,16.02
378,15.66
379,17.49
380,17.86
381,17.83
382,19.47
383,21.66
384,23.67
385,25.38
386,26.76
387,29.25
388,32.04
389,32.01
390,32.91
391,31.74
392,29.95
393,29.38
394,26.04
395,24.93
396,23.24
397,21.58
398,19.84
399,17.57
400,16.19
401,14.66
402,15.13
403,16.64
404,17.09
405,16.44
406,17.8
407,20.98
408,23.37
409,24.5
410,27.84
411,29.26
412,30.25
413,29.67
414,29.83
415,28.99
416,28.82
417,28.2
418,27.63
419,23.33
420,22.24
421,20.78
422,17.51
423,17.32
424,15.41
425,13.82
426,14.74
427,13.03
428,16.03
429,17.32
430,16.95
431,19.8
432,21.09
433,25.47
434,26.04
435,26.26
436,28.1
437,30.66
438,29.72
439,30.45
440,29.22
441,28.87
442,26.01
443,25.11
444,22.83
445,19.89
446,18.25
447,15.92
448,15.59
449,13.91
450,14.66
451,14.44
452,14.4
453,14.99
454,16.58
455,19.66
456,22.08
457,23.39
458,25.61
459,26.18
460,26.83
461,28.23
462,28.43
463,28.27
464,28.11
465,25.61
466,24.2
467,23.63
468,21.57
469,17.55
470,16.63
471,15.35
472,13.67
473,12.22
474,12.57
475,14.27
476,14.08
477,15.67
478,17.78
479,19.42
480,20.31
481,21.24
482,24.18
483,27.02
484,28.57
485,29.65
486,28.3
487,29.0
488,27.57
489,26.45
490,23.63
491,21.68
492,20.24
493,16.93
494,15.91
495,15.26
496,13.15
497,11.62
498,12.23
499,11.47
500,13.74
501,13.21
502,15.95
503,18.38
504,18.83
505,22.73
506,23.13
507,25.75
508,25.77
509,27.55
510,27.31
511,27.37
512,27.86
513,25.43
514,24.88
515,23.18
516,19.37
517,16.78
518,14.65
519,14.55
520,14.65
521,11.89
522,12.51
523,13.17
524,13.58
525,15.15
526,17.39
527,17.06
528,18.59
529,21.05
530,22.9
531,26.18
532,27.13
533,26.89
534,28.61
535,28.53
536,25.93
537,25.98
538,24.74
539,20.91
540,20.96
541,19.32
542,14.83
543,12.92
544,12.51
545,12.81
546,13.38
547,11.97
548,13.73
549,13.09
550,16.59
551,18.33
552,18.83
553,22.92
554,25.09
555,26.0
556,25.84
557,29.23
558,28.91
559,27.34
560,26.79
561,25.35
562,24.11
563,21.69
564,21.16
565,19.01
566,14.94
567,15.86
568,13.63
569,13.42
570,12.79
571,12.26
572,13.97
573,15.95
574,15.53
575,19.09
576,20.36
577,22.28
578,24.08
579,26.64
580,26.53
581,29.1
582,29.32
583,26.84
584,28.44
585,25.27
586,24.29
587,22.82
588,20.07
589,16.97
590,17.52
591,13.88
592,12.71
593,13.69
594,12.07
595,13.98
596,14.26
597,14.28
598,15.16
599,19.92
600,19.43
601,23.42
602,24.68
603,27.17
604,28.26
605,28.95
606,28.78
607,29.44
608,26.56
609,25.7
610,25.48
611,22.42
612,21.2
613,18.83
614,17.1
615,15.15
616,14.87
617,12.85
618,13.72
619,12.73
620,13.5
621,14.4
622,16.3
623,18.04
624,21.39
625,24.17
626,24.4
627,26.18
628,28.28
629,29.83
630,30.89
631,29.3
632,27.8
633,26.02
634,24.67
635,22.88
636,20.69
637,18.16
638,17.82
639,15.42
640,16.28
641,14.25
642,14.45
643,13.04
644,16.1
645,16.27
646,19.11
647,20.18
648,21.97
649,23.99
650,25.19
651,26.48
652,30.46
653,29.9
654,31.24
655,29.74
656,28.0
657,28.43
658,25.09
659,23.48
660,22.69
661,19.88
662,20.06
663,15.81
664,16.52
665,15.28
666,15.6
667,14.22
668,15.95
669,17.04
670,18.72
671,21.94
672,24.44
673,24.49
674,27.41
675,29.07
676,30.78
677,32.24
678,30.33
679,30.11
680,30.7
681,27.96
682,26.39
683,24.21
684,21.96
685,21.28
686,19.82
687,17.3
688,15.89
689,16.56
690,16.31
691,15.88
692,17.42
693,19.45
694,20.74
695,22.22
696,24.44
697,27.37
698,27.82
699,29.88
700,31.5
701,33.13
702,33.2
703,30.7
704,30.23
705,29.43
706,29.14
707,26.71
708,23.84
709,21.32
710,21.13
711,19.55
712,19.05
713,16.97
714,16.72
715,15.8
716,16.52
717,19.01
718,20.38
719,22.14
720,23.77
721,28.5
722,30.1
723,31.01
724,33.46
725,34.44
726,33.78
727,32.34
728,30.9
729,31.82
730,29.35
731,28.0
732,26.77
733,22.54
734,21.87
735,20.4
736,18.74
737,16.79
738,17.33
739,17.6
740,19.45
741,21.33
742,21.44
743,24.51
744,25.4
745,29.49
746,31.07
747,31.97
748,33.0
749,33.42
750,33.76
751,35.47
752,33.02
753,32.12
754,31.93
755,29.05
756,26.67
757,24.26
758,21.69
759,20.6
760,20.55
761,19.4
762,19.57
763,18.22
764,20.09
765,22.54
766,22.77
767,25.52
768,25.9
769,30.56
770,31.44
771,32.03
772,33.1
773,35.11
774,35.43
775,33.82
776,35.75
777,34.28
778,31.31
779,28.39
780,28.5
781,25.46
782,24.23
783,21.98
784,20.04
785,20.96
786,21.16
787,19.26
788,21.02
789,21.83
790,25.13
791,25.86
792,29.08
793,31.14
794,31.34
795,34.57
796,34.75
797,37.14
798,36.17
799,36.87
800,34.49
801,33.3
802,32.54
803,31.88
804,28.31
805,25.25
806,24.53
807,22.32
808,21.7
809,20.91
810,20.4
811,20.3
812,20.73
813,23.56
814,24.87
815,25.82
816,29.54
817,29.45
818,33.51
819,35.07
820,36.69
821,36.24
822,37.38
823,37.6
824,37.31
825,34.61
826,31.6
827,31.1
828,29.32
829,28.11
830,26.22
831,23.28
832,22.29
833,21.31
834,21.86
835,21.22
836,22.78
837,22.57
838,25.19
839,28.65
840,28.85
841,32.0
842,33.82
843,36.11
844,37.4
845,38.24
846,37.1
847,36.65
848,37.08
849,35.95
850,34.65
851,30.23
852,28.27
853,27.91
854,26.87
855,25.45
856,23.45
857,21.73
858,20.46
859,22.36
860,23.89
861,23.89
862,26.31
863,28.88
864,28.39
865,32.73
866,33.16
867,35.08
868,35.67
869,37.64
870,38.03
871,38.45
